,institution,year,author,title,ENTRYTYPE,ID,file,pages,keywords,journal,urldate,number,language,abstract,doi,url,shorttitle,issn,volume,copyright,type,address,month,publisher,annote,note,pmid,isbn,editor,booktitle,series,link
11,,2002,"Newman, M. E. J.",The spread of epidemic disease on networks,article,newman_spread_2002,arXiv Fulltext PDF:/Users/Myworld/Zotero/storage/P6MSX8I9/Newman - 2002 - The spread of epidemic disease on networks.pdf:application/pdf;arXiv.org Snapshot:/Users/Myworld/Zotero/storage/L5UJB46Z/0205009.html:text/html,016128,"Condensed Matter - Disordered Systems and Neural Networks, Condensed Matter - Statistical Mechanics, Quantitative Biology",Physical Review E,2020-02-06,1,,"The study of social networks, and in particular the spread of disease on networks, has attracted considerable recent attention in the physics community. In this paper, we show that a large class of standard epidemiological models, the so-called susceptible/infective/removed (SIR) models can be solved exactly on a wide variety of networks. In addition to the standard but unrealistic case of fixed infectiveness time and fixed and uncorrelated probability of transmission between all pairs of individuals, we solve cases in which times and probabilities are non-uniform and correlated. We also consider one simple case of an epidemic in a structured population, that of a sexually transmitted disease in a population divided into men and women. We confirm the correctness of our exact solutions with numerical simulations of SIR epidemics on networks.",10.1103/PhysRevE.66.016128,http://arxiv.org/abs/cond-mat/0205009,,"1063-651X, 1095-3787",66,,,,July,,"Comment: 12 pages, 3 figures",arXiv: cond-mat/0205009,,,,,,https://www.math.uh.edu/~zpkilpat/teaching/math4309/project/pre02_newman.pdf
12,,2010,"Bauckhage, Christian",Insights into {Internet} {Memes},article,bauckhage_insights_2010,Bauckhage - 2010 - Insights into Internet Memes.pdf:/Users/Myworld/Zotero/storage/S75HURDA/Bauckhage - 2010 - Insights into Internet Memes.pdf:application/pdf,8,,,,,en,"Internet memes are phenomena that rapidly gain popularity or notoriety on the Internet. Often, modiﬁcations or spoofs add to the proﬁle of the original idea thus turning it into a phenomenon that transgresses social and cultural boundaries. It is commonly assumed that Internet memes spread virally but scientiﬁc evidence as to this assumption is scarce. In this paper, we address this issue and investigate the epidemic dynamics of 150 famous Internet memes. Our analysis is based on time series data that were collected from Google Insights, Delicious, Digg, and StumbleUpon. We ﬁnd that differential equation models from mathematical epidemiology as well as simple log-normal distributions give a good account of the growth and decline of memes. We discuss the role of log-normal distributions in modeling Internet phenomena and touch on practical implications of our ﬁndings.",,,,,,,,,,,,,,,,,,https://www.aaai.org/ocs/index.php/%20ICWSM/ICWSM11/paper/viewFile/2757/3304
13,,1967,"Dietz, Klaus",Epidemics and rumours: A survey,article,dietz1967epidemics,,505--528,,Journal of the Royal Statistical Society: Series A (General),,4,,,,,,,130,,,,,Wiley Online Library,,,,,,,,https://www.jstor.org/stable/2982521
14,,2016,"Hopkins, Emily J. and Weisberg, Deena Skolnick and Taylor, Jordan C. V.",The seductive allure is a reductive allure: {People} prefer scientific explanations that contain logically irrelevant reductive information,article,hopkins_seductive_2016,ScienceDirect Full Text PDF:/Users/Myworld/Zotero/storage/6YP9X6U3/Hopkins et al. - 2016 - The seductive allure is a reductive allure People.pdf:application/pdf;ScienceDirect Snapshot:/Users/Myworld/Zotero/storage/32CRZH3L/S0010027716301585.html:text/html,67--76,"Decision making, Explanations, Seductive allure",Cognition,2020-02-07,,en,"Previous work has found that people feel significantly more satisfied with explanations of psychological phenomena when those explanations contain neuroscience information—even when this information is entirely irrelevant to the logic of the explanations. This seductive allure effect was first demonstrated by Weisberg, Keil, Goodstein, Rawson, and Gray (2008), and has since been replicated several times (Fernandez-Duque, Evans, Christian, \& Hodges, 2015; Minahan \& Siedlecki, 2016; Rhodes, Rodriguez, \& Shah, 2014; Weisberg, Taylor, \& Hopkins, 2015). However, these studies only examined psychological phenomena. The current study thus investigated the generality of this effect and found that it occurs across several scientific disciplines whenever the explanations include reductive information: reference to smaller components or more fundamental processes. These data suggest that people have a general preference for reductive information, even when it is irrelevant to the logic of an explanation.",10.1016/j.cognition.2016.06.011,http://www.sciencedirect.com/science/article/pii/S0010027716301585,The seductive allure is a reductive allure,0010-0277,155,,,,October,,,,,,,,,https://pubmed.ncbi.nlm.nih.gov/27367591/
15,,2018,"Vosoughi, Soroush and Roy, Deb and Aral, Sinan",The spread of true and false news online,article,vosoughi_spread_2018,Full Text PDF:/Users/Myworld/Zotero/storage/RTPU6HUD/Vosoughi et al. - 2018 - The spread of true and false news online.pdf:application/pdf;Snapshot:/Users/Myworld/Zotero/storage/278UEFS6/1146.html:text/html,1146--1151,,Science,2020-02-07,6380,en,"Lies spread faster than the truth
There is worldwide concern over false news and the possibility that it can influence political, economic, and social well-being. To understand how false news spreads, Vosoughi et al. used a data set of rumor cascades on Twitter from 2006 to 2017. About 126,000 rumors were spread by ∼3 million people. False news reached more people than the truth; the top 1\% of false news cascades diffused to between 1000 and 100,000 people, whereas the truth rarely diffused to more than 1000 people. Falsehood also diffused faster than the truth. The degree of novelty and the emotional reactions of recipients may be responsible for the differences observed.
Science, this issue p. 1146
We investigated the differential diffusion of all of the verified true and false news stories distributed on Twitter from 2006 to 2017. The data comprise {\textasciitilde}126,000 stories tweeted by {\textasciitilde}3 million people more than 4.5 million times. We classified news as true or false using information from six independent fact-checking organizations that exhibited 95 to 98\% agreement on the classifications. Falsehood diffused significantly farther, faster, deeper, and more broadly than the truth in all categories of information, and the effects were more pronounced for false political news than for false news about terrorism, natural disasters, science, urban legends, or financial information. We found that false news was more novel than true news, which suggests that people were more likely to share novel information. Whereas false stories inspired fear, disgust, and surprise in replies, true stories inspired anticipation, sadness, joy, and trust. Contrary to conventional wisdom, robots accelerated the spread of true and false news at the same rate, implying that false news spreads more than the truth because humans, not robots, are more likely to spread it.
A large-scale analysis of tweets reveals that false rumors spread further and faster than the truth.
A large-scale analysis of tweets reveals that false rumors spread further and faster than the truth.",10.1126/science.aap9559,https://science.sciencemag.org/content/359/6380/1146,,"0036-8075, 1095-9203",359,"Copyright © 2018 The Authors, some rights reserved; exclusive licensee American Association for the Advancement of Science. No claim to original U.S. Government Works. http://www.sciencemag.org/about/science-licenses-journal-article-reuseThis is an article distributed under the terms of the Science Journals Default License.",,,March,,,,29590045,,,,,https://science.sciencemag.org/content/359/6380/1146
16,,1994,"Cosmides, Leda and Tooby, John",Better than {Rational}: {Evolutionary} {Psychology} and the {Invisible} {Hand},article,cosmides_better_1994,,327--332,,The American Economic Review,2020-02-11,2,,,,https://www.jstor.org/stable/2117853,Better than {Rational},0002-8282,84,,,,,,,,,,,,,https://www.cep.ucsb.edu/papers/aer94.pdf
17,,2012,"Dukic, Vanja and Lopes, Hedibert F. and Polson, Nicholas G.",Tracking {Epidemics} {With} {Google} {Flu} {Trends} {Data} and a {State}-{Space} {SEIR} {Model},article,dukic_tracking_2012,Full Text PDF:/Users/Myworld/Zotero/storage/MFEEJIZ2/Dukic et al. - 2012 - Tracking Epidemics With Google Flu Trends Data and.pdf:application/pdf;Snapshot:/Users/Myworld/Zotero/storage/CGV4N5GR/01621459.2012.html:text/html,1410--1426,"Flu, Google correlate, Google insights, Google searches, Google trends, H1N1, Infectious Diseases, Influenza, IP surveillance, Nowcasting, Online surveillance, Particle filtering.",Journal of the American Statistical Association,2020-02-12,500,,"In this article, we use Google Flu Trends data together with a sequential surveillance model based on state-space methodology to track the evolution of an epidemic process over time. We embed a classical mathematical epidemiology model [a susceptible-exposed-infected-recovered (SEIR) model] within the state-space framework, thereby extending the SEIR dynamics to allow changes through time. The implementation of this model is based on a particle filtering algorithm, which learns about the epidemic process sequentially through time and provides updated estimated odds of a pandemic with each new surveillance data point. We show how our approach, in combination with sequential Bayes factors, can serve as an online diagnostic tool for influenza pandemic. We take a close look at the Google Flu Trends data describing the spread of flu in the United States during 2003–2009 and in nine separate U.S. states chosen to represent a wide range of health care and emergency system strengths and weaknesses. This article has online supplementary materials.",10.1080/01621459.2012.713876,https://doi.org/10.1080/01621459.2012.713876,,0162-1459,107,,,,December,,,,,,,,,http://hedibert.org/wp-content/uploads/2013/12/dukic-lopes-polson-2012.pdf
18,,1927,"Kermack, William Ogilvy and McKendrick, A. G. and Walker, Gilbert Thomas",A contribution to the mathematical theory of epidemics,article,kermack_contribution_1927,Full Text PDF:/Users/Myworld/Zotero/storage/WX7ZIB4U/Kermack et al. - 1927 - A contribution to the mathematical theory of epide.pdf:application/pdf;Snapshot:/Users/Myworld/Zotero/storage/L9ZE8PYT/rspa.1927.html:text/html,700--721,,"Proceedings of the Royal Society of London. Series A, Containing Papers of a Mathematical and Physical Character",2020-02-13,772,,"(1) One of the most striking features in the study of epidemics is the difficulty of finding a causal factor which appears to be adequate to account for the magnitude of the frequent epidemics of disease which visit almost every population. It was with a view to obtaining more insight regarding the effects of the various factors which govern the spread of contagious epidemics that the present investigation was undertaken. Reference may here be made to the work of Ross and Hudson (1915-17) in which the same problem is attacked. The problem is here carried to a further stage, and it is considered from a point of view which is in one sense more general. The problem may be summarised as follows: One (or more) infected person is introduced into a community of individuals, more or less susceptible to the disease in question. The disease spreads from the affected to the unaffected by contact infection. Each infected person runs through the course of his sickness, and finally is removed from the number of those who are sick, by recovery or by death. The chances of recovery or death vary from day to day during the course of his illness. The chances that the affected may convey infection to the unaffected are likewise dependent upon the stage of the sickness. As the epidemic spreads, the number of unaffected members of the community becomes reduced. Since the course of an epidemic is short compared with the life of an individual, the population may be considered as remaining constant, except in as far as it is modified by deaths due to the epidemic disease itself. In the course of time the epidemic may come to an end. One of the most important probems in epidemiology is to ascertain whether this termination occurs only when no susceptible individuals are left, or whether the interplay of the various factors of infectivity, recovery and mortality, may result in termination, whilst many susceptible individuals are still present in the unaffected population. It is difficult to treat this problem in its most general aspect. In the present communication discussion will be limited to the case in which all members of the community are initially equally susceptible to the disease, and it will be further assumed that complete immunity is conferred by a single infection.",10.1098/rspa.1927.0118,https://royalsocietypublishing.org/doi/10.1098/rspa.1927.0118,,,115,,,,August,,,,,,,,,https://royalsocietypublishing.org/doi/10.1098/rspa.1927.0118
19,,1992,"Anderson, Roy M and Anderson, B and May, Robert M",Infectious diseases of humans: dynamics and control,book,anderson1992infectious,,,,,,,,,,,,,,,,,,Oxford university press,,,,,,,,https://www.amazon.com/Infectious-Diseases-Humans-Dynamics-Control/dp/019854040X
20,,2000,"Hethcote, Herbert W.",The {Mathematics} of {Infectious} {Diseases},article,hethcote_mathematics_2000,Hethcote - 2000 - The Mathematics of Infectious Diseases.pdf:/Users/Myworld/Zotero/storage/GJL62JVP/Hethcote - 2000 - The Mathematics of Infectious Diseases.pdf:application/pdf,599--653,,SIAM Review,2020-02-13,4,en,"Many models for the spread of infectious diseases in populations have been analyzed mathematically and applied to speciﬁc diseases. Threshold theorems involving the basic reproduction number R0, the contact number σ, and the replacement number R are reviewed for the classic SIR epidemic and endemic models. Similar results with new expressions for R0 are obtained for MSEIR and SEIR endemic models with either continuous age or age groups. Values of R0 and σ are estimated for various diseases including measles in Niger and pertussis in the United States. Previous models with age structure, heterogeneity, and spatial structure are surveyed.",10.1137/S0036144500371907,http://epubs.siam.org/doi/10.1137/S0036144500371907,,"0036-1445, 1095-7200",42,,,,January,,,,,,,,,https://epubs.siam.org/doi/abs/10.1137/S0036144500371907
21,,2000,"Hethcote, Herbert W.",The {Mathematics} of {Infectious} {Diseases},article,hethcote_mathematics_2000-1,Hethcote - 2000 - The Mathematics of Infectious Diseases.pdf:/Users/Myworld/Zotero/storage/FHFAWCLW/Hethcote - 2000 - The Mathematics of Infectious Diseases.pdf:application/pdf,599--653,,SIAM Review,2020-02-13,4,en,,10.1137/S0036144500371907,http://epubs.siam.org/doi/10.1137/S0036144500371907,,"0036-1445, 1095-7200",42,,,,January,,,,,,,,,https://epubs.siam.org/doi/abs/10.1137/S0036144500371907
22,,1995,"Ellison, Glenn and Fudenberg, Drew",Word-of-{Mouth} {Communication} and {Social} {Learning},article,ellison_word--mouth_1995,Snapshot:/Users/Myworld/Zotero/storage/EG8FWQGQ/1894020.html:text/html;Submitted Version:/Users/Myworld/Zotero/storage/QSZQFFWZ/Ellison and Fudenberg - 1995 - Word-of-Mouth Communication and Social Learning.pdf:application/pdf,93--125,,The Quarterly Journal of Economics,2020-02-13,1,en,Abstract.  This paper studies the way that word-of-mouth communication aggregates the information of individual agents. We find that the structure of the commun,10.2307/2118512,https://academic.oup.com/qje/article/110/1/93/1894020,,0033-5533,110,,,,February,,,,,,,,,https://economics.mit.edu/files/7615
23,,2018,"Vosoughi, Soroush and Roy, Deb and Aral, Sinan",The spread of true and false news online,article,vosoughi2018spread,,1146--1151,,Science,,6380,,,,,,,359,,,,,American Association for the Advancement of Science,,,,,,,,https://science.sciencemag.org/content/359/6380/1146
24,,2019,"Shiller, Robert J.",Narrative {Economics}: {How} {Stories} {Go} {Viral} and {Drive} {Major} {Economic} {Events},book,shiller_narrative_2019,,,"Business \& Economics / General, Business \& Economics / Consumer Behavior, Business \& Economics / Economics / General, Business \& Economics / Economics / Macroeconomics, Business \& Economics / Finance / General, Psychology / General, Psychology / Social Psychology",,,,en,"From Nobel Prize–winning economist and New York Times bestselling author Robert Shiller, a new way to think about how popular stories help drive economic eventsIn a world in which internet troll farms attempt to influence foreign elections, can we afford to ignore the power of viral stories to affect economies? In this groundbreaking book, Nobel Prize–winning economist and New York Times bestselling author Robert Shiller offers a new way to think about the economy and economic change. Using a rich array of historical examples and data, Shiller argues that studying popular stories that affect individual and collective economic behavior—what he calls ""narrative economics""—has the potential to vastly improve our ability to predict, prepare for, and lessen the damage of financial crises, recessions, depressions, and other major economic events.Spread through the public in the form of popular stories, ideas can go viral and move markets—whether it's the belief that tech stocks can only go up, that housing prices never fall, or that some firms are too big to fail. Whether true or false, stories like these—transmitted by word of mouth, by the news media, and increasingly by social media—drive the economy by driving our decisions about how and where to invest, how much to spend and save, and more. But despite the obvious importance of such stories, most economists have paid little attention to them. Narrative Economics sets out to change that by laying the foundation for a way of understanding how stories help propel economic events that have had led to war, mass unemployment, and increased inequality.The stories people tell—about economic confidence or panic, housing booms, the American dream, or Bitcoin—affect economic outcomes. Narrative Economics explains how we can begin to take these stories seriously. It may be Robert Shiller's most important book to date.",,,Narrative {Economics},,,,,,October,Princeton University Press,,Google-Books-ID: HciXDwAAQBAJ,,978-0-691-18229-2,,,,https://www.amazon.co.jp/Narrative-Economics-Stories-Economic-Events/dp/0691182299
25,,2010,"Akerlof, George A. and Shiller, Robert J.","Animal {Spirits}: {How} {Human} {Psychology} {Drives} the {Economy}, and {Why} {It} {Matters} for {Global} {Capitalism}",book,akerlof_animal_2010,,,"Business \& Economics / General, Business \& Economics / Economics / Macroeconomics, Business \& Economics / Finance / General, Business \& Economics / Economics / Theory",,,,en,"The global financial crisis has made it painfully clear that powerful psychological forces are imperiling the wealth of nations today. From blind faith in ever-rising housing prices to plummeting confidence in capital markets, ""animal spirits"" are driving financial events worldwide. In this book, acclaimed economists George Akerlof and Robert Shiller challenge the economic wisdom that got us into this mess, and put forward a bold new vision that will transform economics and restore prosperity. Akerlof and Shiller reassert the necessity of an active government role in economic policymaking by recovering the idea of animal spirits, a term John Maynard Keynes used to describe the gloom and despondence that led to the Great Depression and the changing psychology that accompanied recovery. Like Keynes, Akerlof and Shiller know that managing these animal spirits requires the steady hand of government--simply allowing markets to work won't do it. In rebuilding the case for a more robust, behaviorally informed Keynesianism, they detail the most pervasive effects of animal spirits in contemporary economic life--such as confidence, fear, bad faith, corruption, a concern for fairness, and the stories we tell ourselves about our economic fortunes--and show how Reaganomics, Thatcherism, and the rational expectations revolution failed to account for them. Animal Spirits offers a road map for reversing the financial misfortunes besetting us today. Read it and learn how leaders can channel animal spirits--the powerful forces of human psychology that are afoot in the world economy today. In a new preface, they describe why our economic troubles may linger for some time--unless we are prepared to take further, decisive action.",,,Animal {Spirits},,,,,,February,Princeton University Press,,Google-Books-ID: 2Rz\_cuu88DwC,,978-1-4008-3472-3,,,,https://www.amazon.ca/Animal-Spirits-Psychology-Economy-Capitalism/dp/069114592X
26,,2016,"Akerlof, George A. and Shiller, Robert J.",Phishing for {Phools}: {The} {Economics} of {Manipulation} and {Deception},book,akerlof_phishing_2016,,,"Business \& Economics / General, Business \& Economics / Consumer Behavior, Business \& Economics / Economics / General, Business \& Economics / Finance / General, Psychology / General, Business \& Economics / Free Enterprise \& Capitalism",,,,en,"Why the free-market system encourages so much trickery even as it creates so much goodEver since Adam Smith, the central teaching of economics has been that free markets provide us with material well-being, as if by an invisible hand. In Phishing for Phools, Nobel Prize–winning economists George Akerlof and Robert Shiller deliver a fundamental challenge to this insight, arguing that markets harm as well as help us. As long as there is profit to be made, sellers will systematically exploit our psychological weaknesses and our ignorance through manipulation and deception. Rather than being essentially benign and always creating the greater good, markets are inherently filled with tricks and traps and will ""phish"" us as ""phools.""Phishing for Phools therefore strikes a radically new direction in economics, based on the intuitive idea that markets both give and take away. Akerlof and Shiller bring this idea to life through dozens of stories that show how phishing affects everyone, in almost every walk of life. We spend our money up to the limit, and then worry about how to pay the next month's bills. The financial system soars, then crashes. We are attracted, more than we know, by advertising. Our political system is distorted by money. We pay too much for gym memberships, cars, houses, and credit cards. Drug companies ingeniously market pharmaceuticals that do us little good, and sometimes are downright dangerous.Phishing for Phools explores the central role of manipulation and deception in fascinating detail in each of these areas and many more. It thereby explains a paradox: why, at a time when we are better off than ever before in history, all too many of us are leading lives of quiet desperation. At the same time, the book tells stories of individuals who have stood against economic trickery—and how it can be reduced through greater knowledge, reform, and regulation.",,,Phishing for {Phools},,,,,,August,Princeton University Press,,,,978-0-691-17302-3,,,,https://www.adlibris.com/se/bok/phishing-for-phools-the-economics-of-manipulation-and-deception-9780691168319
